,Unnamed: 0,AGIClss,Cnt_Adjstd,Cnt_Credit,Cnt_CvlJnt,Cnt_CvlSep,Cnt_EIC,Cnt_Estmt,Cnt_Exempt,Cnt_HdHous,Cnt_MarJnt,Cnt_MarSep,Cnt_NoTax,Cnt_Return,Cnt_Single,Cnt_Wthhld,Dol_AGI,Dol_AdjVTx,Dol_Credit,Dol_EIC,Dol_IncCap,Dol_NtVTax,Dol_Return,Dol_VTAGI,Dol_VTax,STI_AdjVTx,STI_Credit,STI_EIC,STI_EffRte,STI_FedTI,STI_NetRte,STI_NtVTax,STI_PrcAdj,STI_Return,STI_RtTIAdj,STI_TIAdj,STI_VTI,STI_VTax,Year,Location
0,0,None/Missing,1.0,0.0,0.0,1.0,24.0,16.0,177.0,9.0,34.0,11.0,209.0,219.0,164.0,177.0,0.0,315.0,0.0,881.0,,315.0,219.0,0.0,315.0,73222.8566,203.0,11094066.0,,6544872.0,,73019.8566,,60790.0,1177.0,6544872.0,0.0,76174.0,2005,Vermont
1,1,0.01 - 4999,351.0,32.0,2.0,7.0,5066.0,472.0,20629.0,1312.0,2301.0,222.0,26018.0,28324.0,24480.0,17910.0,74896216.68,114910.7071,473.0,838214.0,,114437.7071,28324.0,76721099.67999999,116591.0,2682423.0435,40484.6226,3849759.0,,82059903.77,,2641938.4208999984,,33462.0,4683.0,5987177.0,76072726.77,2741829.0,2005,Vermont
2,2,5000 - 9999,863.0,489.0,7.0,13.0,7560.0,678.0,27818.0,2158.0,3016.0,301.0,16030.0,27782.0,22287.0,20080.0,205506415.82,788609.5721999998,20080.7542,3085280.0,,768528.818,27782.0,208286341.82,803012.0,6668363.058899998,113988.8233,2332930.0,,198554528.28,,6554374.235599997,,25831.0,2996.0,6295535.0,192258993.28,6866730.0,2005,Vermont
3,3,10000 - 14999,1087.0,623.0,4.0,12.0,5842.0,1049.0,35659.0,3012.0,3934.0,367.0,7631.0,23926.0,16597.0,17826.0,298543289.57,2496529.2573999967,61240.95890000001,4659635.0,,2435288.298499998,23926.0,292015144.57,2574362.0,10223997.532599987,149188.06240000002,804615.0,,298175848.0,,10074809.470199993,,23421.0,2543.0,5883201.0,292292647.0,10481213.0,2005,Vermont
4,4,15000 - 19999,1103.0,504.0,8.0,19.0,4661.0,1360.0,36837.0,3154.0,4981.0,427.0,4773.0,23386.0,14797.0,18914.0,408821387.27,4922671.966099999,78155.3624,4283283.0,,4844516.603699998,23386.0,407745654.27,5095290.0,13220606.57839999,199497.3649,88958.0,,381748266.0,,13021109.213499993,,21514.0,2429.0,5922205.0,375826061.0,13495743.0,2005,Vermont
5,5,20000 - 24999,911.0,456.0,7.0,26.0,4788.0,1512.0,36461.0,3252.0,5029.0,504.0,1785.0,22366.0,13548.0,19353.0,502604137.0,7981381.289600013,106010.5231,3068410.0,,7875370.766500013,22366.0,499992638.0,8189008.0,15202918.049800005,235378.7254,1859.0,,438222000.0,,14967539.324400002,,19232.0,2494.0,6827485.0,431394515.0,15509528.0,2005,Vermont
6,6,25000 - 29999,705.0,458.0,11.0,19.0,4295.0,1654.0,34282.0,2731.0,5214.0,445.0,799.0,20272.0,11852.0,17930.0,556985358.15,10334756.773800002,137297.8782,1663019.0,,10197458.895600004,20272.0,548679323.15,10545132.0,16263610.221900018,291901.6618,1479.0,,466011422.28,,15971708.56010002,,16736.0,2393.0,6882877.0,459128545.28,16542263.0,2005,Vermont
7,7,30000 - 34999,658.0,449.0,12.0,25.0,2479.0,1565.0,31104.0,2166.0,5359.0,382.0,432.0,17434.0,9490.0,15659.0,565529032.28,11376234.68219999,152945.61019999994,524960.0,,11223289.071999988,17434.0,556550348.28,11613628.0,16689331.220099993,336813.9069000001,1.0,,462017596.64,,16352517.313199988,,14033.0,2239.0,7015085.0,455002511.64,16993081.0,2005,Vermont
8,8,35000 - 39999,560.0,427.0,11.0,22.0,570.0,1618.0,29391.0,1723.0,5858.0,298.0,258.0,15361.0,7449.0,13934.0,575161540.0,12254710.309400005,186261.69180000003,40015.0,,12068448.617600007,15361.0,567145667.0,12493752.0,17506171.299599994,351031.3051,2.0,,466857103.0,,17155139.994499996,,12301.0,2198.0,6368939.0,460488164.0,17806286.0,2005,Vermont
9,9,40000 - 44999,483.0,460.0,18.0,10.0,0.0,1481.0,26456.0,1269.0,5948.0,232.0,203.0,12913.0,5436.0,11688.0,547758885.01,12469597.698800005,229138.0594,0.0,,12240459.639400005,12913.0,539435013.01,12713458.0,17203269.806399986,386281.1612,0.0,,452374970.0,,16816988.64519999,,10490.0,2058.0,7205867.0,445169103.0,17493128.0,2005,Vermont
